period_raw,period_key,period_norm,date_from,date_to,certainty,is_transition,has_question_mark,note
L.B.A,L.B.A,Late Bronze Age,-1600,-1300,high,false,false,"Approx.; LBA variably defined in SE Arabia."
U.Nar,U.Nar,Umm an-Nar,-2600,-2000,high,false,false,"Classic Umm an-Nar horizon."
W.Suq,W.Suq,Wadi Suq,-2000,-1600,high,false,false,"Approx.; overlaps with late Umm an-Nar / early Iron Age in some schemes."
IA,IA,Iron Age (unspecified),-1300,-300,medium,false,false,"Broad umbrella; prefer EIA/MIA/LIA where possible."
EIA,EIA,Early Iron Age,-1300,-900,high,false,false,"Approx.; subdivisions vary by author."
LIA,LIA,Late Iron Age,-600,-300,high,false,false,"Approx.; sometimes extended later regionally."
E.Islamic,E.Islamic,Early Islamic,650,1000,high,false,false,"Approx.; Umayyad/Abbasid in broad terms."
M.Islamic,M.Islamic,Middle Islamic,1000,1500,high,false,false,"Approx.; refine by regional dynasties if needed."
L.Islamic,L.Islamic,Late Islamic,1500,1800,high,false,false,"Approx.; boundary to modern varies by project."
Recent,Recent,Recent/Modern,1800,2026,medium,false,false,"Upper bound set to present project year; adjust if open-ended."
Islamic?,Islamic?,Islamic (unspecified),650,1800,low,false,true,"Uncertain Islamic attribution; insufficient diagnostics."
L.Islamic to Recent?,L.Islamic to Recent?,Late Islamic → Recent/Modern,1500,2026,low,true,true,"Transition span; uncertain boundary."
M.Islamic to L.Islamic,M.Islamic to L.Islamic,Middle Islamic → Late Islamic,1000,1800,medium,true,false,"Transition span (coarse dating)."
